image_id,caption
08d532efbacbe8679250fa1873f057e6faefe074_2-Figure1-1.png,mriscan showing large septated mdc and compressed bladder and ctscan showing absent left kidney
0ab1c09f76aa94f27562c25b9a5569d99dafaf65_2-Figure1-1.png,thorax computerized tomography ctscan revealing thrombi in the main pulmonary arteries left pulmonary artery right pulmonary artery
81f751869438864c14b95592d5ad120c91893161_2-Figure1-1.png,left facial weakness figure brain mriscan contrast enhanced weighted image and weighted non contrast image disclosed normal cranial nerves
a49570a4ee22cd15b5191b771289010d31efec18_5-Figure6-1.png,pre and post bevacizumab mriscans showing increased permeability and edema with resolution following therapy
0aa5071a1b2c3eea63d4622c56469c64be12f1d5_2-Figure2-1.png,anterior posterior chest radiograph on day
e819dae2cc173b6e345822393393c5089c4b8d17_3-Figure1-1.png,example of cyclin cyclin positive nuclear staining the immunoreactivity is located in the nuclei of barrett esophagus lesion
fb52e66752aeb55cb03894baeaa5c954b2165c14_5-Figure2-1.png,transverse section of normal mouse days pregnant and mouse infected on day of pregnancy with campylobacters mag
352086c81372b6299448e257b27f015b7dc1efc5_3-Figure1-1.png,enhanced ctscan of the pelvis showing large cystic structure
0b0a574144b3bdd696099debbdb9734b6203defd_2-Figure2-1.png,mid sagittal reformatted ctscan images showing the fracture at the level
e324512aa5308730f243486184e3a102d214cbb2_3-Figure3-1.png,cardiac imaging echocardiogram and magnetic resonance image showing hypertrabeculation of the left ventricle arrow
1df867415556d3a477a9c42006fa25f925055bad_2-Figure3-1.png,representative slices from mriscan abdomen years post resection years post pr bilateral kidneys
3c4249ea7dd20d66e5fddc5a2c7e7533e8b23fae_5-Figure7-1.png,positron emission tomography image demonstrating metastatic deposits in the left mandible right humerus pelvis and both proximal femora
9b69864a3a563386ad6e281911ed89d3216e347e_2-Figure1-1.png,micro computed tomography image from spcl fiber mesh scaffold
5eaaa8d4cb7cfd77efed3295e9907acb5e0541c6_10-Figure5-1.png,sagittal section of and day embryonic chick hearts modified masson trichrome ra right atrium avv atrioventricular valve rv right ventricle
b9eca10153c9c4b084b631fd57bb278e2db60431_1-Figure1-1.png,brain ctscan figure brain ctscan
e2858c7e0a82a73c7058730e1cb032e566d1f236_5-Figure2-1.png,indigo carmine chromoendoscopy delineating mucosal alteration in the sigmoid before staining and after staining
5e84a940a19085b5379f48af7488200b58dada96_2-Figure1-2.png,xray latero lateral projection antero posterior projection that showed the corporal vertebral destruction localized at and
a58d92ce56cfb59a8455b1c9cae1d88e36f6205e_2-Figure1-1.png,mriscan cis axial demonstrating pre pontine and ambient cistern lesion in mriscan post gadolinium in
5070f3f363acc8be91ce4d5bab2851024c263e14_2-Figure2-1.png,anteroposterior and lateral radiograph of shoulder depicts soft tissue tumor
9c9dcee46ed22cf17e7cbfd9661471366fc19d8f_5-Figure3-1.png,lateral radiograph of year old patient with severe thoracic lordosis thoracolumbar kyphosis and scoliosis six months after selective thoracolumbar fusion
847de5a0e54f5f87c6a39603e8e64a7f73663e13_2-Figure1-1.png,left ctscan thorax showing right
0d5508d46a666dfc59f1b4f854b49a738fc53577_9-Figure3-1.png,representative longitudinally extensive spinal cord mriscan lesions on weighted images from year old patient with os multiple sclerosis at relapse
e80da5e663b3abc8e40cf0f53c5b8a1df94ce27e_4-Figure5-1.png,magnetic resonance imaging also revealed the anteriorly dislocated humeral head with rotator cuff injury and hill sachs lesion
61a137f00a9476203d3c9347191a59942cf4d098_2-Figure1-1.png,transverse section through bovine vomeronasal organ caudal to the incisive papilla
ac135d46bb806b63b9a21718b8888275cf8af617_3-Figure2-1.png,coronal mriscan images of so overaction right orbit repeated in up primary and down gaze
cb0d3187b6861f881cbf50b4ee0a4c47569efc57_2-Figure1-1.png,abdominal ctscan of the patient showing space occupying lesion in the distal descending colon
bd58bd106f50fdef297e7f17701a0a810ad6a47a_1-Figure3-1.png,chest xray from the transferring institution
caf2f294cc10b9276165070097404a7cb1ec58b7_2-Figure1-1.png,computed tomography of the pancreatic tumor the tumor invaded the transverse colon and spleen
f87c9eeded3049d29f1e8821f4937741f3170ea2_2-Figure1-1.png,contrast enhanced computed tomography heterogeneous pseudoaneurysm with thrombus in contact with the main trunk of the sma trunk arrow
d80f7c6f3f0f863b847d0d097c9236df1cf4cf12_3-Figure6-1.png,transverse us scan of jejunal segments
d7039b557b47d2b5d6d473f450362f1c8771585c_3-Figure2-1.png,computed tomography scan upper and magnetic resonance images lower showing solid vestibular schwannoma with extensive destruction arrow
a35047e922dfed4b86bdb8eb8f8ac99c091b030a_1-Figure1-1.png,chest xray showing double density in the aortic arch mimicking the number arrow
bd0c7994d56ad883ea607a7f1ca4e34e447ee3e9_1-Figure1-1.png,ctscan of the abdomen showing irregular wall thickening of the caecum
665f96475a25637a3213a1077c57499b2250d73b_3-Figure4-1.png,endoscopic view of the lipoma arrows
