s2_caption,image_uri
"Fig. 1 Serial MRIs. The initial set of MRIs showed T2 hyperintensity and some contrast enhancement in the bilateral internal capsules (a, b). Eight months later, a second set of MRIs showed new enhancing lesions in the bilateral basal ganglia (c, d). Eleven months after initial presentation, the right basal ganglia lesion appeared to grow, whereas the lesion in the left basal ganglia diminished (e, f). In the final set of MRI, 15 months after initial presentation, the right basal ganglia lesion was unchanged (not shown), and a new enhancing mass appeared in the left middle cerebellar peduncle (h). c = contrast",1f1eb7d296de41f419d197007c0f35801a7f0049_2-Figure1-1.png
Fig. 7 Postoperative imaging showing osteochondral allograft union into the Hill-Sachs lesion,b94b915809726ef657a9c3488a598a26da2aa79a_8-Figure7-1.png
"Fig. 3. At 6 month follow-up periods, mid-sagittal image and anterior 1/3 coronal computed tomography images of 19% of group I and 43% of group II were assessed by the author’s own method; grade I is almost no bone formation, grade II is bone formation of less than 50% of grated zone, grade III is bone formation of more than 50% but incomplete continuity of bone mass and grade IV is diffuse and continuous bone formation.",8c489243e45bf22d8f6b690ea7b1578aede18d78_3-Figure3-1.png
"Figure 1. (a) Computed tomography angiography (expressed by maximum intensive projection) and (b) left subclavian venography showed a serpentine systemic venous channel draining from the left subclavian vein (vertical white arrow) into the bilateral upper pulmonary veins (horizontal white arrows), implying the presence of the levoatriocardinal vein (black arrow). (c) Transvenous coil occlusion was performed through the left brachial vein using a coaxial delivery system (illustrated as a triple concentric circle in the right upper corner). (d) After the transvenous coaxial coil occlusion, the follow-up left subclavian venography showed complete occlusion of the levoatriocardinal vein",66f63c12589221dc7990610c952670339be15a30_1-Figure1-1.png
"Figure 1. Identification of MYH7 mutation and clinical characteristics. (A) Pedigree of the reported family. The proband (III.15), indicated by the arrow, carries the c.5186_5188delAGA (p.K1729del) mutation. Subjects III.7, III.9, III.13, and IV.15 all tested positive for the mutation. Filled symbols indicate affected members of the family, arrowheads point to those tested for the mutation. (B) T1-weighted MRI of the upper thighs of index patient III.15 shows atrophy and fatty replacement of quadriceps and rectus femoris with sparing of the abductors, hamstring, and right vastus intermedius and vastus medialis. An arrow points to an area of atrophy and fatty replacement. (C) Selected physical findings from subjects with MYH7 mutation. Clockwise from top left: III.13 has significant calf hypertrophy; III.9 displays anterior compartment atrophy; quadriceps atrophy is also observed in III.7; III.9 showing limited wrist extension due to weakness of the extensor compartment of the arm. The “hanging big toe sign” was observed in all patients; in this image, the foot of IV.15 is shown.",a52848babb2d53919b9226f5a12eb8b5f7ffe75d_2-Figure1-1.png
"Figure 3. A 25-year old male, non B non C cirrhosis. (A) Pulsed Doppler image. Short gastric vein (arrows) had a continuous wave with hepatofugal flow direction. (B) Color Doppler image. The stomach was demonstrated through the spleen (arrows, short gastric vein; arrowheads, gastric varices). (C) Endoscopic finding. The patient had medium-grade gastric fundal varices.",632edf102a79846ffefddc944a1c895af90d6844_3-Figure3-1.png
FIG. 10. Systemic lupus erythematosus-A PA chest radiograph reveals prominence of the cardiac shadow; echocardiography confirmed a moderate-sized pericardial effusion. Also note the large left pleural effusion.,3d9336283d6c34a4016d3e28f4505ca1db781373_14-Figure10-1.png
"Fig. 3 (a) Wide-angle X-ray scattering data for a xerogel obtained by drying a sample of 5 prepared originally at a concentration of 40 mM in CDCl3. Scanning electron micrographs of a xerogel obtained by drying a sample of 5, prepared in CDCl3 at 40 mM. Magnification increases from (b) ×2500 through (c) ×10000 to (d) ×40000.",47e05ded2dc195cec1a33a82e520edd44f5f54ba_3-Figure3-1.png
FIGURE 2. Manual alignment of two SD-OCT en face images. (A) Reference SD-OCT en face image and (B) subsequent SD-OCT en face image. (C) Scan registered to the reference.,ca9aacf4e239a1f64be76c880c7a384138834db3_2-Figure2-1.png
Figure. 1. T2-weighted brain MRI shows increased signal intensity in both globus pallidus (A) and left midbrain adjacent substantia nigra (B).,c9174a4546aa5c6b924bb122ebc9dc02c54c9e82_2-Figure1-1.png
Fig. 1. Sonography and magnetic resonance imaging revealed irregular spiculated mass in left breast.,25cec1a0230e31a47c9221ebea803642f7c35603_2-Figure1-1.png
"Fig 6t This 21-year-old girl received two renal transplants, the first two years, and the second 18 months, before her death. A skeletal survey showed no abnormality but at necropsy there was an extensive area of medullary necrosis in the lower end of the left femur andjuxtaarticular lesions in both femoral heads. The area of necrosis was outlined by congested marrow but there was no surrounding bony reaction and no abnormality in the slab radiograph.",702e4ef5a0cfb6c0f5b85ac3db8594b807b2bb9f_5-Figure6-1.png
"Fig. 1 – Multislice computed tomography (MSCT) demostrated a mass of 53 mm  35 mm  50 mm, located on the upper-posterior wall of the urinary bladder (white arrow).",b468e8bcb1bd75e4a8587dd70d571676e8c3a75c_2-Figure1-1.png
Figure 2: Contrast enhanced computed tomography scan showed well-defined lobulated lesion with coarse calcification arising from the skin/subcutaneous tissue with suspicious parotid involvement.,6abc623282a425e3bcc3c7dd9f9cbc27e8a4fb89_2-Figure2-1.png
Figure 2 Lung CT scan images showing a mass lesion with irregular contours with extensive pleural deployment and bronchial involvement.,ec34121b39125302455c8287952e2f91900e7248_2-Figure2-1.png
FIG. 6.-Case 1. Pre-operative radiograph showing complete collapse of the right upper lobe.,8b7e9a5e9755bc7046bb15a44d97d793028ef0d3_5-Figure6-1.png
"Figure 4 Space filling models show infection voids. The need for threedimensional (3D) imaging is made clear when comparing tumors from multiple animals. (a/d) Immunohistochemical staining of tumors shows extensive vesicular stomatitis virus (VSV) infection (anti-VSV, green) throughout the tumor (Hoechst, blue). (b/e) Singular microSPECT/ computed tomography (CT) planes taken at the same relative position within the same tumors as those stained in a/d show similar distribution relative to each other (top) but different planes through the same tumors at another location show different distributions. (c/f) 3D space filling allows differences in distribution to be clearly appreciated where tumor on top has decreased voids compared to tumor on bottom.",3c6af2ed730b07a0facfcefa992d9776c5f7e38f_5-Figure4-1.png
"Fig. 2 (a) CT scan of a patient in treatment with Sorafenib showed, in the left lung, multiple ground glass nodules in the posterior segment of superior lobe. (b) CT image in the same patient after 4-week withdrawal from chemotherapeutic agent, demonstrating the disappearance of the nodules",93236dad25d9af10fdf166b680cbc943de1df936_8-Figure2-1.png
"FIG. 1. Images for patient 1 in two axial planes, two coronal planes, and two sagittal planes. PTV-66 (green and red), PTV-54 (blue), right and left parotids (pink), spinal cord (yellow), brain stem (cyan), and larynx (light brown). Also overlain on the images are isodose lines for the plan with 9 IMBs and 3 ILs; 72.6 Gy (red), 66 Gy (magenta), 54 Gy (yellow), 45 Gy (green), and 30 Gy (blue).",11a659da21cf6af33c6561a87c500ecefaea40ce_3-Figure1-1.png
Figure 1. CT Scan Demonstrating Distribution of Calcium on the Aortic Valve,5daec55e4abd9cfa377401547c4a9f80a3e5006b_2-Figure1-1.png
"Figure 6 Chest x-ray (patient 4) showing cavitation within areas ofpulmonary consoltdatwon (arrowed), typical ofWG.",bfae024a9e6d13771355d373655f701bf0ef10ac_4-Figure6-1.png
"Fig. 1 Case 1: 17 months old girl presenting with opsoclonus-myoclonus syndrome. Whole-body I-123-mIBG scintigraphy with 60 mBq I-123mIBG did not reveal any pathological tracer uptake (a). WB-MRI revealed a solid left-sided paravertebral mass extending to the correlated neuroforamina (white arrow) at the level of thoracic vertebrae T 9/10 with signal hyperintensity in T2 weighted Turbo-Inversion RecoveryMagnitude (TIRM) sequences (b). In diffusion weighted imaging, correlated restricted diffusion could be detected with low ADC (c and d) and strong enhancement with hyperintensity could be detected in the T1 weighted sequence after the administration of 2 ml gadolinium compound (e and f). L = liver, S = spleen",edeaa173b15ab1531baaa6e60b05393caf05bed9_3-Figure1-1.png
Figure 2: MRI of Achilles tendon,11e5de08a05492975e55464cfdeda026b74386a7_2-Figure2-1.png
"Fig. 1 MRI scan showing abnormal signal return on T2 and 1.3). While not every control subject performed every task, possible low-intensity lesion in T1 in the lateral part of the basal five subjects performed at least two of the theory of mindnuclei of the left amygdala. tasks and seven executive functions tasks, and eight subjects performed at least three theory of mind tasks and two executive functions tasks. On seven of the 16 executivereturn. The scan is consistent with a dysembryonablastic functions tasks, standardized data were used as theneuroepithelial tumour of long standing or of congenital comparison. All control subjects gave informed consent.origin.",4fdc262621b3904d790c1d675a0050897d68c47e_4-Figure1-1.png
Fig. 3. Axial CT image showing bilateral pneumatization of the anterior clinoid processes (arrow) and bilateral optic nerves (ON) inside sphenoid sinus (SS).,e73e38975461b61ebdc4ef00f9c15bce503304e5_3-Figure3-1.png
"Fig. 5. Cryo-FIB milling and cryo-ET of C. elegans. (A) Scanning EM (SEM) image of an adult C. elegans worm that has been vitrified by high-pressure freezing, using 2-methylpentane as freezing medium. Scale bar: 10 μm. (B) A lamella of the adult worm (arrowheads) shown in A, produced by cryo-FIB milling. Scale bar: 2 μm. (C) A slice through a tomogram of a FIB-milled C. elegans embryo; here, the plasma membrane (green arrow), mitochondria (yellow arrows; ‘M’), ribosomes (blue arrow) and the nuclear envelope (orange arrow) can be seen. Scale bar: 100 nm. (D) An example of a rendering of another tomogram acquired on a C. elegans embryo lamella. Shown here are the plasma membrane (dark blue), nuclear envelope (pink), ribosomes (gold), NPCs (blue) and filamentous structures near the inner nuclear membrane (green). Modified with permission from Harapin et al., 2015.",3c6751405a2986b31c4f8bee8c77f117425b3cbb_5-Figure5-1.png
"Figure 2. A, Contrast-enhanced CT images show the tumor encircles the esophagus (arrow). B, The descending aorta is compressed by the tumor (asterisk). C, Tracheal oppression by the tumor is presented on CT scan (triangle). CT=computed tomography.",005e7a4714020b893a08d62e784de74353a11da7_2-Figure2-1.png
Fig. 2 Abdominal CT in AIP. a Parenchymal phase: The pancreatic parenchyma shows irregularly reduced enhancement. The marginal zone of the pancreas shows capsule-like rim with more reduced enhancement (arrows). b Delayed phase: the enhancement in the parenchyma and capsule-like rim become stronger in the delayed phase.(arrows),20fb1ccf1f2fe71276ce2a579261c90abcfd88b6_7-Figure2-1.png
Figure 2 CT thorax shows two superior vena cavae as indicated by red arrows.,7f209b36e96e316233b4dc29b0422f53bd81ee44_1-Figure2-1.png
"FIGURE 9 | (A) AFM image of spin coated submonolayer of CNCs on TiO2, 5 × 5 µm 2 scan (Reproduced from Kontturi et al., 2007 with permission from American Chemical Society); (B) AFM image of spin coated layer of CNCs with full coverage, 5 × 5 µm2 scan (Reproduced from Kontturi et al., 2007 with permission from American Chemical Society); (C) AFM image of LbL deposited CNF film, 1.5 × 1.5 µm2 scan (Reproduced from Wågberg et al., 2008 with permission from American Chemical Society); (D) photograph of LbL deposited CNF films of different thickness values, resulting in colored structures through optical interference (Reproduced from Wågberg et al., 2008 with permission from American Chemical Society).",2bf76f508ff76d32f8c6bab029e259406f3af08e_8-Figure9-1.png
Fig. 9. 44-year-old woman with low-grade dysplastic nodule that was confirmed after percutaneous biopsy in normal liver. Patient did not have viral infection. A. Contrast-enhanced CT scan obtained during equilibrium-phase shows small hypodense nodule (arrow) with arterial hypovascularity (data not shown) in left liver. Two similar hypodense nodules (arrowheads) are noted in left liver. B. Respiratory-triggered single-shot T2-weighted MR image shows hypointense nodule (arrow). C. Gadobenate dimeglumine-enhanced three-hour delayed hepatobiliary-phase MR image shows discrete hypointense nodule (arrow). This nodule and another two nodules in left liver showed no change in size 16 months after initial CT examination.,c203eeab0be753eccc7168935dc093d67b79a8b4_6-Figure9-1.png
"Figure 1 (a) Proton-density-weighted MRI scan demonstrates abnormal increased signal intensity within the caudate nuclei, lentiform nuclei and medial thalami. (b) TI-weighted MRI scan after the administration of gadolinium demonstrates areas of contrast enhancement within the basal ganglia and intense enhancement within the habenular region. (c) Repeat proton-density-weighted MRI scan and (d) TI-weighted MRI scan demonstrate dramatic progressive, confluent abnormal signal intensity within the deep gray matter nuclei and relative lack of involvement of the hemispheric white matter. Administration of gadolinium demonstrates extensive enhancement within the deep gray matter nuclei.",9d3aef4ed6fe2b88427098e2c9ad9931dc016d5e_2-Figure1-1.png
Fig. 3 Brain magnetic resonance imaging findings. a Sagittal T1weighted and axial T2-weighted images of patient 1 demonstrating gray matter thickening in the frontal gyri bilaterally with scattered areas of increased T2 signal intensity in the subcortical white matter consistent with polymicrogyria. There is no evidence of encephalocele. b Sagittal T1-weighted and axial T2-weighted images of patient 2 demonstrating gray matter thickening in the inferior and middle frontal gyri bilaterally consistent with polymicrogyria. There is no evidence of encephalocele,2e2f8e6520ff7998bc4e254d0be6088a646f8b6f_5-Figure3-1.png
Figure 3. CT transverse view of the patient’s thorax.,48f2ff065b37d4c765df1bac13b596e70424d331_3-Figure3-1.png
"Fig. 1. (A) A cranial CT-scan showing a high intensity lesion of 7 cm in diameter in the left subcortical region. (B–D) Serial chest radiographs showing progression and resolution of pulmonary infiltrates. (B) Five days after ATRA treatment, a chest radiograph showed bilateral diffuse ground-glass opacity, which was prominent in the right-middle to lower lung fields, and an enlarged cardiac silhouette. (C) Despite withdrawal of ATRA and administration of dexamethasone, daunorubicin and cytarabine, another radiograph on hospital day 6 revealed extensive consolidation. (D) After administration of Silvelestat, the consolidation had almost disappeared on the following morning.",bade57d9856fd66d4c338722101f5a90b0fec4a3_2-Figure1-1.png
"Figure 2. Differences in activation patterns dependent on evoked K-complexes. (A) Comparison of activation for rare tones followed by a KC against rare tones not evoking a KC response. Axial slices are indicated with MNI z-coordinates. FMRI data are thresholded at puncorr,0.001, cluster extent.10 voxels. (B) Evoked potentials for the Fz, Cz and Pz derivation. Green: frequent tones; red: rarew/oKC tones; black: rareKC tones. Surface mapping of EEG amplitudes for selected components is inserted. doi:10.1371/journal.pone.0006749.g002",5887af77fb70229ec520e8b054d814be99bf986c_6-Figure2-1.png
Figure 3. Abdominal contrast-enhanced CT at presentation showing a wedge-shaped hypodense area suggesting edema on pre-contrast CT (A). A patchy region with diminished enhancement in the arterial phase (B) and late enhancement in the equilibrium phase (C) suggesting the presence of hepatic venous congestion. Note that the edematous area on pre-contrast CT is smaller than the congested area on contrast-enhanced CT.,d8416f6c05657a9f55a19eddb78f8deb91fcf59a_4-Figure3-1.png
Figure 2. The hinge domains of dystrophin influence myotendinous junction structure and ringed fiber formation. Shown are electron microscopy images of longitudinal sections of the Achilles myotendinous junctions in addition to transverse sections of gastrocnemius muscles. Note that expression of microdystrophin disrupted the myotendinous junctions and led to formation of ringed fibers (arrow). Scale bar = 5 mm for myotendinous junctions and 2 mm for transverse sections of gastrocnemius muscles. doi:10.1371/journal.pgen.1000958.g002,c3e38df5afc861ec7e9f5cf9da5c90bdfab99576_4-Figure2-1.png
"Fig. 6. 13-year-old boy with clear cell ependymoma (WHO grade II). A. Axial enhanced T1-weighted image shows heterogeneous solid and cystic tumor with small enhancing portion (arrows) and mild peritumoral edema in peripheral portion of right parietal lobe. B, C. Axial pseudocontinuous arterial spinal labeling image (B) and cerebral blood flow map from dynamic susceptibility imaging (C) reveal increased values in enhancing tumor. D. Signal intensity-time curve of dynamic susceptibility contrast imaging demonstrates T2*-dominant leakage pattern for enhancing tumor showing increased tumor blood flow (region of interest 2), compared with normal-appearing brain regions (regions of interest 1 and 3). WHO = World Health Organization",7866137b139e7aef727ae9782e56cbedf73efd1b_7-Figure6-1.png
"Fig. 2. Second patient fundus photograph and optical coherence tomography (OCT) the day after surgery (A, B) and after removal of perfluorocarbon liquid (PFCL) bubble (C, D). Again atrophy of outer retinal layers and photoreceptor loss is evident in follow-up OCT (D).",078862b6e206da2297b74ceff77d526fb6dd14f4_3-Figure2-1.png
"Fig. 1. Meta-analysis results showing regions of significant (p < 0.05 corrected) overlap acr size indicates increased cluster volume. PCN: precuneus (MNI coordinates: 40, 68, 42; 1 16; 16, 4, 50), PCing: posterior cingulate ( 28, 66, 18), CUN: cuneus (8, 68, 36), MFG: cingulate ( 10, 20, 36). Figure created using BrainNet Viewer (http://www.nitrc.org/projec resonance imaging.",d8529f8192a1d9ab70728ac3fae2d412a461a481_4-Figure1-1.png
"Figure 3. CT perfusion images before and after surgery. Images show cerebral hemodynamics changes of pre- and post-operation of a left-sided superficial temporal artery-to-middle cerebral artery anastomosis in Moyamoya disease. Axial perfusion CT images show reduced (A) cerebral blood flow (CBF), increased (B) cerebral blood volume (CBV), delayed (C) mean transit time (MTT), and (D) time to peak (TTP) in the region of left middle cerebral artery before surgery. The postoperative whole-brain perfusion CT images show increased (E) CBF, reduced (F) CBV, (G) MTT and (H) TTP in the region of left middle cerebral artery. doi:10.1371/journal.pone.0057595.g003",a5779fb8cc28231c150e90e57e3b29e6b6ffa2b8_3-Figure3-1.png
