s2_caption,image_uri,tokenized_caption
clinical aspects of case 1 a mediastinal ct shows an irregularshaped thymoma adjacent to the aorta arrow b recurrence of thymoma is observed in the multiple areas of the left thorax arrow c recurrent thymoma invasion of the thoracic vertebra and spinal cord arrow d the patient has marked hair loss e f skin rashes on the patients legs and hands some were focally fused,918a87db6d5a201d0c92797b3a2b228dd1a9c04d_2-Figure1-1.png,"['clinical', 'aspects', 'of', 'case', '1', 'a', 'mediastinal', 'ct', 'shows', 'an', 'irregularshaped', 'thymoma', 'adjacent', 'to', 'the', 'aorta', 'arrow', 'b', 'recurrence', 'of', 'thymoma', 'is', 'observed', 'in', 'the', 'multiple', 'areas', 'of', 'the', 'left', 'thorax', 'arrow', 'c', 'recurrent', 'thymoma', 'invasion', 'of', 'the', 'thoracic', 'vertebra', 'and', 'spinal', 'cord', 'arrow', 'd', 'the', 'patient', 'has', 'marked', 'hair', 'loss', 'e', 'f', 'skin', 'rashes', 'on', 'the', 'patients', 'legs', 'and', 'hands', 'some', 'were', 'focally', 'fused']"
chest radiograph showing a right apical pneumothorax and a left sided haemopneumothorax,6339fcacfbee4d722bf5759ba27cabdaab9de652_1-Figure1-1.png,"['chest', 'radiograph', 'showing', 'a', 'right', 'apical', 'pneumothorax', 'and', 'a', 'left', 'sided', 'haemopneumothorax']"
perineal scan with slight angulation to the left in an 18yearold woman with a double collecting system in the left kidney showing the grossly dilated distal ureter ur of the upper moiety opening into the distal urethra arrows bl indicates urinary bladder,c8eacf6f86b2c846f23cf8861ed2d07a820fc1ba_6-Figure11-1.png,"['perineal', 'scan', 'with', 'slight', 'angulation', 'to', 'the', 'left', 'in', 'an', '18yearold', 'woman', 'with', 'a', 'double', 'collecting', 'system', 'in', 'the', 'left', 'kidney', 'showing', 'the', 'grossly', 'dilated', 'distal', 'ureter', 'ur', 'of', 'the', 'upper', 'moiety', 'opening', 'into', 'the', 'distal', 'urethra', 'arrows', 'bl', 'indicates', 'urinary', 'bladder']"
mri showing the damaged both endplates with the retropulsed fragment,fe59a0fc82d6c6ae1f3b04bfb597ede6fc491c24_2-Figure2-1.png,"['mri', 'showing', 'the', 'damaged', 'both', 'endplates', 'with', 'the', 'retropulsed', 'fragment']"
to illustrate normal division and to serve as a comparison for the experimental cells shown in following plates the progress of experimental and control cells through mitosis was determined by observing nuclear events such as nuclear envelope breakdown the start of the normal anaphase separation of half spindles fig 1 d and nuclear envelope reformation these all provide relatively precise temporal markers for experimental cells we also used the distribution and quantity of spindle birefringence to monitor their progress into telophase this is important because spindles of altered geometry do not show a traditional anaphase movement of chromosomes chromosomes pop apart but the chromatids do not move to opposite poles 14 in normal cells the birefringence of the central spindle and asters gradually increases after nuclear envelope breakdown and reaches its highest value at or shortly after anaphase onset fig 1 ac in early telophase   5 min after anaphase onset the halfspindle birefringence fades rapidly and the asters assume a larger more diffuse fibrous appearance fig 1 d and e,8636be9301565311d21cf3cf35c512c105ac937a_2-Figure1-1.png,"['to', 'illustrate', 'normal', 'division', 'and', 'to', 'serve', 'as', 'a', 'comparison', 'for', 'the', 'experimental', 'cells', 'shown', 'in', 'following', 'plates', 'the', 'progress', 'of', 'experimental', 'and', 'control', 'cells', 'through', 'mitosis', 'was', 'determined', 'by', 'observing', 'nuclear', 'events', 'such', 'as', 'nuclear', 'envelope', 'breakdown', 'the', 'start', 'of', 'the', 'normal', 'anaphase', 'separation', 'of', 'half', 'spindles', 'fig', '1', 'd', 'and', 'nuclear', 'envelope', 'reformation', 'these', 'all', 'provide', 'relatively', 'precise', 'temporal', 'markers', 'for', 'experimental', 'cells', 'we', 'also', 'used', 'the', 'distribution', 'and', 'quantity', 'of', 'spindle', 'birefringence', 'to', 'monitor', 'their', 'progress', 'into', 'telophase', 'this', 'is', 'important', 'because', 'spindles', 'of', 'altered', 'geometry', 'do', 'not', 'show', 'a', 'traditional', 'anaphase', 'movement', 'of', 'chromosomes', 'chromosomes', 'pop', 'apart', 'but', 'the', 'chromatids', 'do', 'not', 'move', 'to', 'opposite', 'poles', '14', 'in', 'normal', 'cells', 'the', 'birefringence', 'of', 'the', 'central', 'spindle', 'and', 'asters', 'gradually', 'increases', 'after', 'nuclear', 'envelope', 'breakdown', 'and', 'reaches', 'its', 'highest', 'value', 'at', 'or', 'shortly', 'after', 'anaphase', 'onset', 'fig', '1', 'ac', 'in', 'early', 'telophase', '5', 'min', 'after', 'anaphase', 'onset', 'the', 'halfspindle', 'birefringence', 'fades', 'rapidly', 'and', 'the', 'asters', 'assume', 'a', 'larger', 'more', 'diffuse', 'fibrous', 'appearance', 'fig', '1', 'd', 'and', 'e']"
magnetic resonance imaging mri different mri sequences for evaluating the diaphragm from a morphological point of view better view of the structure in the coronal plane the socalled t2 weighted sequences a allow visualization of the diaphragm as a hypointense streak dark interposed between two layers of adipose tissue fat of the subpleural space and the subdiaphragmatic that are visible as hyperintense clear the sequences t1weighted after administration of the contrast b use the opposite principle ie they show a diaphragm as a linear structure hyperintense or clear as it is soaked by injected contrast between two layers of adipose tissue hypointense black free of impregnation,70c234dd96e29ca4e6aec0aaff51a8f88e612557_4-Figure4-1.png,"['magnetic', 'resonance', 'imaging', 'mri', 'different', 'mri', 'sequences', 'for', 'evaluating', 'the', 'diaphragm', 'from', 'a', 'morphological', 'point', 'of', 'view', 'better', 'view', 'of', 'the', 'structure', 'in', 'the', 'coronal', 'plane', 'the', 'socalled', 't2', 'weighted', 'sequences', 'a', 'allow', 'visualization', 'of', 'the', 'diaphragm', 'as', 'a', 'hypointense', 'streak', 'dark', 'interposed', 'between', 'two', 'layers', 'of', 'adipose', 'tissue', 'fat', 'of', 'the', 'subpleural', 'space', 'and', 'the', 'subdiaphragmatic', 'that', 'are', 'visible', 'as', 'hyperintense', 'clear', 'the', 'sequences', 't1weighted', 'after', 'administration', 'of', 'the', 'contrast', 'b', 'use', 'the', 'opposite', 'principle', 'ie', 'they', 'show', 'a', 'diaphragm', 'as', 'a', 'linear', 'structure', 'hyperintense', 'or', 'clear', 'as', 'it', 'is', 'soaked', 'by', 'injected', 'contrast', 'between', 'two', 'layers', 'of', 'adipose', 'tissue', 'hypointense', 'black', 'free', 'of', 'impregnation']"
eobmri dynamic ct and ceus of the liver before chemotherapy a b the hepatobiliary phase of eobmri c d the arterial phase of dynamic ct e the kupffer phase of ceus f the vascular phase of ceus white dotted circles indicate wedgeshaped uneven perfusion in s56 and white arrowheads indicate the tumorous area in the s7 lesion,a1ea873ea330d499a7f7ca74c736b2a78e018f0d_3-Figure2-1.png,"['eobmri', 'dynamic', 'ct', 'and', 'ceus', 'of', 'the', 'liver', 'before', 'chemotherapy', 'a', 'b', 'the', 'hepatobiliary', 'phase', 'of', 'eobmri', 'c', 'd', 'the', 'arterial', 'phase', 'of', 'dynamic', 'ct', 'e', 'the', 'kupffer', 'phase', 'of', 'ceus', 'f', 'the', 'vascular', 'phase', 'of', 'ceus', 'white', 'dotted', 'circles', 'indicate', 'wedgeshaped', 'uneven', 'perfusion', 'in', 's56', 'and', 'white', 'arrowheads', 'indicate', 'the', 'tumorous', 'area', 'in', 'the', 's7', 'lesion']"
imaging studies a abdominal ct revealed a lowdensity tumor measuring 80 mm in diameter in the right lobe of the liver with irregular and peripheral enhancement of the lesion in the arterial phase and washout in the portal and delayed phases white arrows b a chest ct revealed a right pulmonary tumor that slowly increased from 6 to 8 mm during a sixmonth period white arrow head ct computed tomography,9575bce649a747fbd310a8da6f832823d831d245_3-Figure1-1.png,"['imaging', 'studies', 'a', 'abdominal', 'ct', 'revealed', 'a', 'lowdensity', 'tumor', 'measuring', '80', 'mm', 'in', 'diameter', 'in', 'the', 'right', 'lobe', 'of', 'the', 'liver', 'with', 'irregular', 'and', 'peripheral', 'enhancement', 'of', 'the', 'lesion', 'in', 'the', 'arterial', 'phase', 'and', 'washout', 'in', 'the', 'portal', 'and', 'delayed', 'phases', 'white', 'arrows', 'b', 'a', 'chest', 'ct', 'revealed', 'a', 'right', 'pulmonary', 'tumor', 'that', 'slowly', 'increased', 'from', '6', 'to', '8', 'mm', 'during', 'a', 'sixmonth', 'period', 'white', 'arrow', 'head', 'ct', 'computed', 'tomography']"
monopedal ap radiograph with weightbearing,63cf99910f1052323fbb967b155d40e2d14a8c82_3-Figure4-1.png,"['monopedal', 'ap', 'radiograph', 'with', 'weightbearing']"
merchant view axial view to measure congruence angle 1 bisect the angle of the femoral trochlea 2 draw a line from the apex of the femoral trochlea through the apex of the patella the angle between these two lines is the congruence angle,3323f2de777e0af9583a30b95e6f63576e78139e_2-Figure1-1.png,"['merchant', 'view', 'axial', 'view', 'to', 'measure', 'congruence', 'angle', '1', 'bisect', 'the', 'angle', 'of', 'the', 'femoral', 'trochlea', '2', 'draw', 'a', 'line', 'from', 'the', 'apex', 'of', 'the', 'femoral', 'trochlea', 'through', 'the', 'apex', 'of', 'the', 'patella', 'the', 'angle', 'between', 'these', 'two', 'lines', 'is', 'the', 'congruence', 'angle']"
body size measurement using lowdose screening chest ct ap diameter and lateral diameter are measured at midliver level ap  anteroposterior,d4f164a4d6064e1f14b0d8ab47d96af579952280_3-Figure1-1.png,"['body', 'size', 'measurement', 'using', 'lowdose', 'screening', 'chest', 'ct', 'ap', 'diameter', 'and', 'lateral', 'diameter', 'are', 'measured', 'at', 'midliver', 'level', 'ap', 'anteroposterior']"
contrastenhanced computed tomography of the abdomenpelvis at presentation a axial view showing an 8 cm enhancing left mass b coronal view indicating upper pole location,9a43dc57a5334c3ae306162537e8d1d407871186_2-Figure1-1.png,"['contrastenhanced', 'computed', 'tomography', 'of', 'the', 'abdomenpelvis', 'at', 'presentation', 'a', 'axial', 'view', 'showing', 'an', '8', 'cm', 'enhancing', 'left', 'mass', 'b', 'coronal', 'view', 'indicating', 'upper', 'pole', 'location']"
sagittal magnetic resonance venography shows filling defect in the superior sagittal sinus represents superior sagittal sinus thrombosis,6e5ee539bb3c45ec76db2f7280ed2431d396848c_2-Figure2-1.png,"['sagittal', 'magnetic', 'resonance', 'venography', 'shows', 'filling', 'defect', 'in', 'the', 'superior', 'sagittal', 'sinus', 'represents', 'superior', 'sagittal', 'sinus', 'thrombosis']"
normal chest xray with no infiltrate or plural effusion and normal pulmonary vasculature,11ae5592f2cbaf184748458f085d76d231903d12_2-Figure1-1.png,"['normal', 'chest', 'xray', 'with', 'no', 'infiltrate', 'or', 'plural', 'effusion', 'and', 'normal', 'pulmonary', 'vasculature']"
petct evaluation with 18 ffluorodeoxyglucose showing in axial a and sagittal b planes high fdg uptake in pathological tissue located in pelvis,435ffc1ebe92ac16fe0c26cb470c754a945e2df1_4-Figure7-1.png,"['petct', 'evaluation', 'with', '18', 'ffluorodeoxyglucose', 'showing', 'in', 'axial', 'a', 'and', 'sagittal', 'b', 'planes', 'high', 'fdg', 'uptake', 'in', 'pathological', 'tissue', 'located', 'in', 'pelvis']"
magnetic resonance angiography mra and highresolution magnetic resonance imaging hrmri results of a 68yearold male patient with acute cerebral infarction a mra revealed stenosis of the m1 segment of the left middle cerebral artery b diffusionweighted imaging revealed a patchy high signal in the left centrum semiovale and c hrmri,69b65ea54b9ee550298ca538860433ae1dbabcd8_4-Figure2-1.png,"['magnetic', 'resonance', 'angiography', 'mra', 'and', 'highresolution', 'magnetic', 'resonance', 'imaging', 'hrmri', 'results', 'of', 'a', '68yearold', 'male', 'patient', 'with', 'acute', 'cerebral', 'infarction', 'a', 'mra', 'revealed', 'stenosis', 'of', 'the', 'm1', 'segment', 'of', 'the', 'left', 'middle', 'cerebral', 'artery', 'b', 'diffusionweighted', 'imaging', 'revealed', 'a', 'patchy', 'high', 'signal', 'in', 'the', 'left', 'centrum', 'semiovale', 'and', 'c', 'hrmri']"
scanning electron micrographs showing the effects of infection with c trachomatis strain ni 1 on the epithelial surface of the mouse oviduct twenty control or infected oviducts were examined a normal uninfected oviduct showing ciliated and nonciliated epithelium the bar represents 20 pm b the lumenal epithelium of the oviduct 15 d after intrauterine infection with c  trachomatis strain ni 1 note the denudation of the ciliated epithelium and the presence of surface debris the bar represents 20 pm c transverse section of murine oviduct 15 d after intrauterine infection with chlamydiae showing blockage of the lumen with cellular debris the bar represents 50 pm 6 transverse section of an oviduct with hydrosalpinx 27 d after intrauterine infection with c trachomatis strain n i 1 the bar represents 05 mm,1fd8ba348d4578f5e86e6eb30946e409a9a5ac73_4-Figure1-1.png,"['scanning', 'electron', 'micrographs', 'showing', 'the', 'effects', 'of', 'infection', 'with', 'c', 'trachomatis', 'strain', 'ni', '1', 'on', 'the', 'epithelial', 'surface', 'of', 'the', 'mouse', 'oviduct', 'twenty', 'control', 'or', 'infected', 'oviducts', 'were', 'examined', 'a', 'normal', 'uninfected', 'oviduct', 'showing', 'ciliated', 'and', 'nonciliated', 'epithelium', 'the', 'bar', 'represents', '20', 'pm', 'b', 'the', 'lumenal', 'epithelium', 'of', 'the', 'oviduct', '15', 'd', 'after', 'intrauterine', 'infection', 'with', 'c', 'trachomatis', 'strain', 'ni', '1', 'note', 'the', 'denudation', 'of', 'the', 'ciliated', 'epithelium', 'and', 'the', 'presence', 'of', 'surface', 'debris', 'the', 'bar', 'represents', '20', 'pm', 'c', 'transverse', 'section', 'of', 'murine', 'oviduct', '15', 'd', 'after', 'intrauterine', 'infection', 'with', 'chlamydiae', 'showing', 'blockage', 'of', 'the', 'lumen', 'with', 'cellular', 'debris', 'the', 'bar', 'represents', '50', 'pm', '6', 'transverse', 'section', 'of', 'an', 'oviduct', 'with', 'hydrosalpinx', '27', 'd', 'after', 'intrauterine', 'infection', 'with', 'c', 'trachomatis', 'strain', 'n', 'i', '1', 'the', 'bar', 'represents', '05', 'mm']"
a a 59yearold female patient having pain with a history of breast cancer the t1w fat sat post contrast shows circumscribed gadolinium enhancement suspicious of metastasis b the computed tomography ct scan could identify the fracture line,1876c91f0de2ca18293d4458ed419be9631bdcf9_2-Figure1-1.png,"['a', 'a', '59yearold', 'female', 'patient', 'having', 'pain', 'with', 'a', 'history', 'of', 'breast', 'cancer', 'the', 't1w', 'fat', 'sat', 'post', 'contrast', 'shows', 'circumscribed', 'gadolinium', 'enhancement', 'suspicious', 'of', 'metastasis', 'b', 'the', 'computed', 'tomography', 'ct', 'scan', 'could', 'identify', 'the', 'fracture', 'line']"
a computed tomography scan with the right lung tumour b the loss of contrast in the left atrium and thickening of the pulmonary vein c transoesophageal echocardiography  grey arrow shows intracardiac part of the tumour d radiography after right lower lobectomy,07dc7c8f0744079f5a1ae3f42e183cba4ff3e50d_2-Figure1-1.png,"['a', 'computed', 'tomography', 'scan', 'with', 'the', 'right', 'lung', 'tumour', 'b', 'the', 'loss', 'of', 'contrast', 'in', 'the', 'left', 'atrium', 'and', 'thickening', 'of', 'the', 'pulmonary', 'vein', 'c', 'transoesophageal', 'echocardiography', 'grey', 'arrow', 'shows', 'intracardiac', 'part', 'of', 'the', 'tumour', 'd', 'radiography', 'after', 'right', 'lower', 'lobectomy']"
abdominopelvic computed tomography a posterior wall enhance shown at terminal ileum on abdominal computed tomography arrow b r arrow,8ecf5374ac2a7c01825283617695dafd102f751e_2-Figure2-1.png,"['abdominopelvic', 'computed', 'tomography', 'a', 'posterior', 'wall', 'enhance', 'shown', 'at', 'terminal', 'ileum', 'on', 'abdominal', 'computed', 'tomography', 'arrow', 'b', 'r', 'arrow']"
striosomedendron bouquets resolved with confocal microscopy and proexm a and b confocal images of snc neurons and their ventrally extending dendrites red and striosomal axons green in the caldaggefiigfp a n  9 sections from 3 animals and p172mcitrine b n  12 sections from 3 animals striosome lines tightly entwined striosomal and dopaminergic fibers in dendrons appear mainly yellow cf proexm imaging of the bouquet shown in b resolves individual striosomal fibers green and dendrites red in a longitudinal view c and in crosssections at three levels df corresponding to the lines drawn in c similar results were obtained with proexm in the caldaggefiigfp line fig s2 the scale bar in b indicates the dimension of the unexpanded tissue and the scale bars in c and d indicate the dimension of the expanded tissue,3f12241e85caed91fb6ec3e07199ea78bbf20ea8_3-Figure2-1.png,"['striosomedendron', 'bouquets', 'resolved', 'with', 'confocal', 'microscopy', 'and', 'proexm', 'a', 'and', 'b', 'confocal', 'images', 'of', 'snc', 'neurons', 'and', 'their', 'ventrally', 'extending', 'dendrites', 'red', 'and', 'striosomal', 'axons', 'green', 'in', 'the', 'caldaggefiigfp', 'a', 'n', '9', 'sections', 'from', '3', 'animals', 'and', 'p172mcitrine', 'b', 'n', '12', 'sections', 'from', '3', 'animals', 'striosome', 'lines', 'tightly', 'entwined', 'striosomal', 'and', 'dopaminergic', 'fibers', 'in', 'dendrons', 'appear', 'mainly', 'yellow', 'cf', 'proexm', 'imaging', 'of', 'the', 'bouquet', 'shown', 'in', 'b', 'resolves', 'individual', 'striosomal', 'fibers', 'green', 'and', 'dendrites', 'red', 'in', 'a', 'longitudinal', 'view', 'c', 'and', 'in', 'crosssections', 'at', 'three', 'levels', 'df', 'corresponding', 'to', 'the', 'lines', 'drawn', 'in', 'c', 'similar', 'results', 'were', 'obtained', 'with', 'proexm', 'in', 'the', 'caldaggefiigfp', 'line', 'fig', 's2', 'the', 'scale', 'bar', 'in', 'b', 'indicates', 'the', 'dimension', 'of', 'the', 'unexpanded', 'tissue', 'and', 'the', 'scale', 'bars', 'in', 'c', 'and', 'd', 'indicate', 'the', 'dimension', 'of', 'the', 'expanded', 'tissue']"
a 67 yearold patient with a squamous cell carcinoma of the inner nose recurrence after primary radiotherapy 1 year earlier b the ct shows widespread infiltration c intraoperative situation following tumour resection d an epiplating nasal plate is inserted on the right the tapped holes are secured with blue covering screws open wound areas are covered with split thickness skin transplants,370b9b31a688388d116072780c1f9d05a5585902_8-Figure9-1.png,"['a', '67', 'yearold', 'patient', 'with', 'a', 'squamous', 'cell', 'carcinoma', 'of', 'the', 'inner', 'nose', 'recurrence', 'after', 'primary', 'radiotherapy', '1', 'year', 'earlier', 'b', 'the', 'ct', 'shows', 'widespread', 'infiltration', 'c', 'intraoperative', 'situation', 'following', 'tumour', 'resection', 'd', 'an', 'epiplating', 'nasal', 'plate', 'is', 'inserted', 'on', 'the', 'right', 'the', 'tapped', 'holes', 'are', 'secured', 'with', 'blue', 'covering', 'screws', 'open', 'wound', 'areas', 'are', 'covered', 'with', 'split', 'thickness', 'skin', 'transplants']"
